Time: 2023-07-14 20:25:35.058981, Result: No human, Confidence: 0.825953
Time: 2023-07-14 20:25:36.887107, Result: No human, Confidence: 0.836724
Time: 2023-07-14 20:25:43.812853, Result: No human, Confidence: 0.852936
Time: 2023-07-14 20:25:45.819567, Result: No human, Confidence: 0.852494
Time: 2023-07-14 20:25:52.427343, Result: No human, Confidence: 0.830058
Time: 2023-07-14 20:25:54.112404, Result: No human, Confidence: 0.821656
Time: 2023-07-14 20:26:00.714194, Result: No human, Confidence: 0.821227
Time: 2023-07-14 20:26:02.667474, Result: No human, Confidence: 0.819008
Time: 2023-07-14 20:26:10.453665, Result: No human, Confidence: 0.840328
Time: 2023-07-14 20:26:12.398332, Result: No human, Confidence: 0.844549
Time: 2023-07-14 20:26:19.542483, Result: No human, Confidence: 0.975720
Time: 2023-07-14 20:26:21.240121, Result: No human, Confidence: 0.974431
Time: 2023-07-14 20:26:28.004995, Result: No human, Confidence: 0.965521
Time: 2023-07-14 20:26:29.750716, Result: No human, Confidence: 0.959650
Time: 2023-07-14 20:26:36.502213, Result: No human, Confidence: 0.920199
Time: 2023-07-14 20:26:38.489619, Result: No human, Confidence: 0.910239
Time: 2023-07-14 20:26:45.584756, Result: No human, Confidence: 0.891620
Time: 2023-07-14 20:26:48.642779, Result: No human, Confidence: 0.890516
Time: 2023-07-14 20:26:56.259600, Result: No human, Confidence: 0.881927
Time: 2023-07-14 20:26:58.001247, Result: No human, Confidence: 0.882746
Time: 2023-07-14 20:27:04.661092, Result: No human, Confidence: 0.877495
Time: 2023-07-14 20:27:06.678547, Result: No human, Confidence: 0.876281
Time: 2023-07-14 20:27:13.721519, Result: No human, Confidence: 0.879025
Time: 2023-07-14 20:27:15.431321, Result: No human, Confidence: 0.879389
Time: 2023-07-14 20:27:22.221389, Result: No human, Confidence: 0.904569
Time: 2023-07-14 20:27:23.975124, Result: No human, Confidence: 0.895925
Time: 2023-07-14 20:27:30.649240, Result: No human, Confidence: 0.884918
Time: 2023-07-14 20:27:33.259490, Result: No human, Confidence: 0.884890
Time: 2023-07-14 20:27:40.040510, Result: No human, Confidence: 0.883956
Time: 2023-07-14 20:27:41.732841, Result: No human, Confidence: 0.879545
Time: 2023-07-14 20:27:48.408025, Result: No human, Confidence: 0.865151
Time: 2023-07-14 20:27:50.532991, Result: No human, Confidence: 0.862188
Time: 2023-07-14 20:27:57.367342, Result: No human, Confidence: 0.862007
Time: 2023-07-14 20:28:00.233742, Result: No human, Confidence: 0.863215
Time: 2023-07-14 20:28:07.188121, Result: No human, Confidence: 0.878914
Time: 2023-07-14 20:28:09.101483, Result: No human, Confidence: 0.877637
Time: 2023-07-14 20:28:16.565588, Result: No human, Confidence: 0.877874
Time: 2023-07-14 20:28:18.345567, Result: No human, Confidence: 0.882938
Time: 2023-07-14 20:28:25.717326, Result: No human, Confidence: 0.888360
Time: 2023-07-14 20:28:27.748160, Result: No human, Confidence: 0.889017
Time: 2023-07-14 20:28:34.465891, Result: No human, Confidence: 0.896369
Time: 2023-07-14 20:28:36.201700, Result: No human, Confidence: 0.894815
Time: 2023-07-14 20:28:43.208710, Result: No human, Confidence: 0.913053
Time: 2023-07-14 20:28:45.168806, Result: No human, Confidence: 0.920731
Time: 2023-07-14 20:28:52.585408, Result: No human, Confidence: 0.888770
Time: 2023-07-14 20:28:54.746792, Result: No human, Confidence: 0.878655
Time: 2023-07-14 20:29:01.523849, Result: No human, Confidence: 0.867701
Time: 2023-07-14 20:29:03.391723, Result: No human, Confidence: 0.869660
Time: 2023-07-14 20:29:10.348246, Result: No human, Confidence: 0.866065
Time: 2023-07-14 20:29:12.486818, Result: No human, Confidence: 0.868726
Time: 2023-07-14 20:29:19.266445, Result: No human, Confidence: 0.972976
Time: 2023-07-14 20:29:21.070174, Result: No human, Confidence: 0.975604
Time: 2023-07-14 20:29:27.956508, Result: No human, Confidence: 0.964459
Time: 2023-07-14 20:29:29.604749, Result: No human, Confidence: 0.953551
Time: 2023-07-14 20:29:36.323283, Result: No human, Confidence: 0.930144
Time: 2023-07-14 20:29:38.047847, Result: No human, Confidence: 0.929751
Time: 2023-07-14 20:29:44.928619, Result: No human, Confidence: 0.943203
Time: 2023-07-14 20:29:46.590615, Result: No human, Confidence: 0.946250
Time: 2023-07-14 20:29:53.592752, Result: No human, Confidence: 0.962675
Time: 2023-07-14 20:29:55.236024, Result: No human, Confidence: 0.965281
